DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
76.733,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,82.977,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.81,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,82.588,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.886,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,85.584,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.962,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,87.923,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.038,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,86.382,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.114,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,81.318,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.191,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,75.077,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.267,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,72.016,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.343,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,73.924,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.419,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,77.501,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.495,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,78.233,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.572,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,73.987,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.648,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,67.95,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.724,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,65.442,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.8,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,66.531,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.876,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,67.636,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
77.953,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,66.105,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.029,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,63.593,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.105,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,63.104,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.181,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,64.19,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.257,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,63.528,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.334,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,59.893,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.41,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,56.597,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.486,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,56.318,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.562,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,59.49,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.638,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,62.484,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.715,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,62.33,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
78.791,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,60.806,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
