 DEPTH      GR        spd       bit       CAL       SPBD      bvol      cvol      tten      rd        rs        rmsl      dt24      CNCF      zden      pe        zcor     
    5.486    81.265  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    5.639    41.423  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    5.791    24.962  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    5.944    17.209  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    6.096    13.493  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    6.248    12.348  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    6.401    12.449  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    6.553    13.046  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    6.706    14.638  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    6.858    18.881  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    7.010    27.989  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    7.163    42.123  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    7.315    54.255  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    7.468    56.665  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    7.620    51.753  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    7.772    47.296  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    7.925    45.578  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    8.077    45.735  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    8.230    48.069  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    8.382    50.273  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    8.534    48.906  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    8.687    44.187  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    8.839    39.795  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    8.992    38.265  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    9.144    39.252  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
    9.296    41.624  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
